station_cd,station_g_cd,station_name,station_name_rn,line_cd,lon,lat
1110402,1110402,静狩,SHIZUKARI,11104,140.460025,42.584065
1110403,1110403,小幌,KOBORO,11104,140.537361,42.589731
1110404,1110404,礼文,REBUN,11104,140.595013,42.580422
1110405,1110405,大岸,OKISHI,11104,140.639036,42.585969
1110406,1110406,豊浦,TOYOURA,11104,140.71536,42.580323
1110407,1110407,洞爺,TOUYA,11104,140.763959,42.55055
1110408,1110408,有珠,USU,11104,140.793969,42.513267
1110409,1110409,長和,NAGAWA,11104,140.833783,42.488262
1110410,1110410,伊達紋別,DATEMOMBETSU,11104,140.855802,42.469395
1110411,1110411,北舟岡,KITA-FUNAOKA,11104,140.880259,42.450528
1110412,1110412,稀府,MAREPPU,11104,140.898836,42.425567
1110413,1110413,黄金,KOGANE,11104,140.907781,42.386441
1110414,1110414,崎守,SAKIMORI,11104,140.927141,42.373968
1110415,1110415,本輪西,MOTO-WANISHI,11104,140.977561,42.358734
1110416,1110416,室蘭,MURORAN,11104,140.97571,42.317864
1110417,1110417,母恋,BOKOI,11104,140.990018,42.317295
1110418,1110418,御崎,MISAKI,11104,140.993881,42.329014
1110419,1110419,輪西,WANISHI,11104,141.005743,42.333775
1110420,1110420,東室蘭,HIGASHI-MURORAN,11104,141.026411,42.349374
1110421,1110421,鷲別,WASHIBETSU,11104,141.042759,42.35953
1110422,1110422,幌別,HOROBETSU,11104,141.107293,42.409782
1110423,1110423,富浦,TOMIURA,11104,141.156878,42.441957
1110424,1110424,登別,NOBORIBETSU,11104,141.180931,42.45207
1110425,1110425,虎杖浜,KOJOHAMA,11104,141.215092,42.464695
1110426,1110426,竹浦,TAKEURA,11104,141.260395,42.49284
1110427,1110427,北吉原,KITA-YOSHIHARA,11104,141.286199,42.509119
1110428,1110428,萩野,HAGINO,11104,141.30603,42.521159
1110429,1110429,白老,SHIRAOI,11104,141.360054,42.55474
1110430,1110430,社台,SHADAI,11104,141.417433,42.578682
1110431,1110431,錦岡,NISHIKIOKA,11104,141.48722,42.6025
1110432,1110432,糸井,ITOI,11104,141.546187,42.6225
1110433,1110433,青葉,AOBA,11104,141.568278,42.62999
1110434,1110434,苫小牧,TOMAKOMAI,11104,141.596837,42.639665
1110501,1110434,苫小牧,TOMAKOMAI,11105,141.596837,42.639665
1110502,1110502,沼ノ端,NUMANOHATA,11105,141.693132,42.672057
1110503,1110503,遠浅,TOASA,11105,141.769568,42.729533
1110504,1110504,早来,HAYAKITA,11105,141.814106,42.765237
1110505,1110505,安平,ABIRA,11105,141.825283,42.814007
1110506,1110506,追分,OIWAKE,11105,141.810678,42.873316
1110507,1110507,三川,MIKAWA,11105,141.800778,42.945029
1110508,1110508,古山,FURUSAN,11105,141.793969,42.975256
1110509,1110509,由仁,YUNI,11105,141.785868,43.012206
1110510,1110510,栗山,KURIYAMA,11105,141.775603,43.058164
1110511,1110511,栗丘,KURIOKA,11105,141.744333,43.085444
1110512,1110512,栗沢,KURISAWA,11105,141.739743,43.120367
1110513,1110513,志文,SHIBUN,11105,141.744443,43.158903
1110514,1110327,岩見沢,IWAMIZAWA,11105,141.759359,43.204201
1110601,1110335,滝川,TAKIKAWA,11106,141.900807,43.555278
1110602,1110602,東滝川,HIGASHI-TAKIKAWA,11106,141.98031,43.574037
1110603,1110603,赤平,AKABIRA,11106,142.048669,43.555144
1110604,1110604,茂尻,MOSHIRI,11106,142.082156,43.537314
1110605,1110605,平岸,HIRAGISHI,11106,142.123872,43.541401
